shopName,shopAddress,shopPhone,licencePics
阿里巴巴大串（江霆华府店）,哈尔滨市利民开发区哈黑副路西侧江霆华府A1栋4号商服,['15604638666'],"['http://p0.meituan.net/xianfu/887bfc62218844c3daed6ad63c23a283201406.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/0c1fee3628c4e524dc093b7113972192247864.jpg@900w_600h_1e_1c']"
肯德基宅急送（利民店）,哈尔滨市利民开发区利民大道（利民大道东侧、南京路北侧）,['4009208801'],"['http://p1.meituan.net/xianfu/d02ec4c64c433c13a2ee8d209e52f39e40047.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/5006b4a389df125f787d87c13fa52f18190497.jpg@900w_600h_1e_1c']"
街坊人家小盘菜,利民开发区世纪路北、天津大街西伸马梧桐湾小区1栋5号商服,['15765549131'],"['http://p0.meituan.net/xianfu/3eba96b92f4293b1cfde56600ed0f491108993.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/c0bbcf03b227e4ac3add85f0a31d6cc0144522.jpg@900w_600h_1e_1c']"
张秀梅脆皮鸡、张姐烤肉拌饭,哈尔滨市利民开发区天津大街东、世纪路南侧弘基世纪城5栋7号商服,['13936502321'],"['http://p0.meituan.net/waimaipoi/51d5830bc6bcbae3ea54a8f288e944d5134254.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/f3df954d60aaed5ab688403ada580044225456.jpg@900w_600h_1e_1c']"
火恋鸟雀味烧烤,哈尔滨市呼兰区江霆华府二期第G4幢S1-01号商服,['13019703658'],"['http://p0.meituan.net/xianfu/2ddc35eb43fbe4fc01691aa21cffee691181848.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/1ea4690c62abc9c1d95e1c70f94712731456087.jpg@900w_600h_1e_1c']"
虾得瑟麻辣小海鲜,警官路裕发新城1栋8号商服,['18846183083'],"['http://p1.meituan.net/xianfu/1c34e58b1a2a4ade86d7d73f640c6e381097073.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/4d1f7029dcd9fd7c2b2c3b715bca60ec145995.jpg@900w_600h_1e_1c']"
叫了个炸鸡（华远新家园店）,利民开发区南京路华远新家园3栋25号,"['18745124134', '18745686631']","['http://p1.meituan.net/xianfu/84c595b29ddd6ef70fdce619277e099f201536.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/9b44f13e0f8d881a72fcc99b3a37c123122232.jpg@900w_600h_1e_1c']"
大文春饼,南京路紫竹院7号A2座,['13945103579'],"['http://p0.meituan.net/xianfu/df12e628c6313095361c253486f9f4eb77034.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/1dc8f6bfcd547f00a405c3dd340843c988529.jpg@900w_600h_1e_1c']"
知音小厨（南京路店）,哈尔滨市利民开发区南京路南侧大众国际6-1栋1号商服,['18646203321'],"['http://p1.meituan.net/waimaipoi/9faa3e3edf88368b6b587d47146c7a50220929.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/64f32044e7877176bd6275dfea137386189724.jpg@900w_600h_1e_1c']"
阿里巴巴大串（江霆华府店）,哈尔滨市利民开发区哈黑副路西侧江霆华府A1栋4号商服,['15604638666'],"['http://p0.meituan.net/xianfu/887bfc62218844c3daed6ad63c23a283201406.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/0c1fee3628c4e524dc093b7113972192247864.jpg@900w_600h_1e_1c']"
火恋鸟雀味烧烤,哈尔滨市呼兰区江霆华府二期第G4幢S1-01号商服,['13019703658'],"['http://p0.meituan.net/xianfu/2ddc35eb43fbe4fc01691aa21cffee691181848.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/1ea4690c62abc9c1d95e1c70f94712731456087.jpg@900w_600h_1e_1c']"
肯德基宅急送（利民店）,哈尔滨市利民开发区利民大道（利民大道东侧、南京路北侧）,['4009208801'],"['http://p1.meituan.net/xianfu/d02ec4c64c433c13a2ee8d209e52f39e40047.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/5006b4a389df125f787d87c13fa52f18190497.jpg@900w_600h_1e_1c']"
张秀梅脆皮鸡、张姐烤肉拌饭,哈尔滨市利民开发区天津大街东、世纪路南侧弘基世纪城5栋7号商服,['13936502321'],"['http://p0.meituan.net/waimaipoi/51d5830bc6bcbae3ea54a8f288e944d5134254.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/f3df954d60aaed5ab688403ada580044225456.jpg@900w_600h_1e_1c']"
街坊人家小盘菜,利民开发区世纪路北、天津大街西伸马梧桐湾小区1栋5号商服,['15765549131'],"['http://p0.meituan.net/xianfu/3eba96b92f4293b1cfde56600ed0f491108993.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/c0bbcf03b227e4ac3add85f0a31d6cc0144522.jpg@900w_600h_1e_1c']"
诱麻诱辣麻辣香锅,利民开发区南京路天津大街东美兰家园2栋7号商服,['15046779474'],"['http://p1.meituan.net/waimaipoi/1172f2fbb3570f6c2ce1f32b5374f15767329.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/759340b6497de75190f8098f754dd0d786846.jpg@900w_600h_1e_1c']"
叫了个炸鸡（华远新家园店）,利民开发区南京路华远新家园3栋25号,"['18745124134', '18745686631']","['http://p1.meituan.net/xianfu/84c595b29ddd6ef70fdce619277e099f201536.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/9b44f13e0f8d881a72fcc99b3a37c123122232.jpg@900w_600h_1e_1c']"
虾得瑟麻辣小海鲜,警官路裕发新城1栋8号商服,['18846183083'],"['http://p1.meituan.net/xianfu/1c34e58b1a2a4ade86d7d73f640c6e381097073.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/4d1f7029dcd9fd7c2b2c3b715bca60ec145995.jpg@900w_600h_1e_1c']"
阿里巴巴大串（江霆华府店）,哈尔滨市利民开发区哈黑副路西侧江霆华府A1栋4号商服,['15604638666'],"['http://p0.meituan.net/xianfu/887bfc62218844c3daed6ad63c23a283201406.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/0c1fee3628c4e524dc093b7113972192247864.jpg@900w_600h_1e_1c']"
肯德基宅急送（利民店）,哈尔滨市利民开发区利民大道（利民大道东侧、南京路北侧）,['4009208801'],"['http://p1.meituan.net/xianfu/d02ec4c64c433c13a2ee8d209e52f39e40047.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/5006b4a389df125f787d87c13fa52f18190497.jpg@900w_600h_1e_1c']"
街坊人家小盘菜,利民开发区世纪路北、天津大街西伸马梧桐湾小区1栋5号商服,['15765549131'],"['http://p0.meituan.net/xianfu/3eba96b92f4293b1cfde56600ed0f491108993.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/c0bbcf03b227e4ac3add85f0a31d6cc0144522.jpg@900w_600h_1e_1c']"
张秀梅脆皮鸡、张姐烤肉拌饭,哈尔滨市利民开发区天津大街东、世纪路南侧弘基世纪城5栋7号商服,['13936502321'],"['http://p0.meituan.net/waimaipoi/51d5830bc6bcbae3ea54a8f288e944d5134254.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/f3df954d60aaed5ab688403ada580044225456.jpg@900w_600h_1e_1c']"
火恋鸟雀味烧烤,哈尔滨市呼兰区江霆华府二期第G4幢S1-01号商服,['13019703658'],"['http://p0.meituan.net/xianfu/2ddc35eb43fbe4fc01691aa21cffee691181848.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/1ea4690c62abc9c1d95e1c70f94712731456087.jpg@900w_600h_1e_1c']"
虾得瑟麻辣小海鲜,警官路裕发新城1栋8号商服,['18846183083'],"['http://p1.meituan.net/xianfu/1c34e58b1a2a4ade86d7d73f640c6e381097073.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/4d1f7029dcd9fd7c2b2c3b715bca60ec145995.jpg@900w_600h_1e_1c']"
叫了个炸鸡（华远新家园店）,利民开发区南京路华远新家园3栋25号,"['18745124134', '18745686631']","['http://p1.meituan.net/xianfu/84c595b29ddd6ef70fdce619277e099f201536.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/9b44f13e0f8d881a72fcc99b3a37c123122232.jpg@900w_600h_1e_1c']"
大文春饼,南京路紫竹院7号A2座,['13945103579'],"['http://p0.meituan.net/xianfu/df12e628c6313095361c253486f9f4eb77034.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/1dc8f6bfcd547f00a405c3dd340843c988529.jpg@900w_600h_1e_1c']"
知音小厨（南京路店）,哈尔滨市利民开发区南京路南侧大众国际6-1栋1号商服,['18646203321'],"['http://p1.meituan.net/waimaipoi/9faa3e3edf88368b6b587d47146c7a50220929.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/64f32044e7877176bd6275dfea137386189724.jpg@900w_600h_1e_1c']"
肯德基宅急送（呼兰街店）,哈尔滨市呼兰区建设街文明小区5号楼北1门1-2层,['4009208801'],"['http://p0.meituan.net/xianfu/f9a6104d0362019ecff3bf5ee98da4ca70290.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/a04631e07b6f3b6c221c6fa17138fd39123338.jpg@900w_600h_1e_1c']"
古屋四川麻辣烫（总店）,哈尔滨市呼兰区新华街七委二组东方红小区楼一楼5门,['18345371456'],"['http://p1.meituan.net/waimaipoi/8f205779d54acbb4e460fbe5110df416134971.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/0e6d7e93afda78cda1a20871ba393614282617.jpg@900w_600h_1e_1c']"
橋頭排骨（亿兴店）,新华街邮局2号楼1层7号,['15765515515'],[]
汤火麻辣烫,幸福街征费稽查所楼2单元1层4号（东数7门）,['18545109871'],[]
老陕阿婆面,哈尔滨市畅想国际南侧,['15045050345'],"['http://p0.meituan.net/waimaipoi/99cf09a5c0a29afcc9d08e9ea697650675621.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/0c13a901637fecf5bea90207bb73bed3225874.jpg@900w_600h_1e_1c']"
李家酱肉小酒馆,北大街一百后身,['13684668999'],"['http://p0.meituan.net/waimaipoi/feca940af33c1b313ef4805ea9a012b1141223.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/43289d844c8f62872cb8af6af648a99342857.jpg@900w_600h_1e_1c']"
妈妈菜金牌锅烙,兰河大街寓花园1#楼12号,['045156885885'],"['http://p0.meituan.net/xianfu/0590a45b7d9dd7db504da2104ce552a3127349.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/39b6b9167483bf1f8c749094276f2fb984569.jpg@900w_600h_1e_1c']"
过把瘾精品海鲜烧烤,哈尔滨市呼兰区建设街哈三电劳动服务公司楼4单元1层1号,['0451-56839888'],"['http://p1.meituan.net/xianfu/4e4cfa246d4a377042cc0b40b31b59af79386.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/3d2d04de41e0955d1f5087f8adc3e496175068.jpg@900w_600h_1e_1c']"
祥和小洞天麻辣烫(总店),哈尔滨市呼兰区南二道街266号,['045156832918'],"['http://p1.meituan.net/xianfu/6b02842ccea7aa9001ea4dfc7fdece5081203.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/564e25b3c1e297a2b8b25e53b6425380186332.jpg@900w_600h_1e_1c']"
张亮麻辣烫(呼兰店),新华街汇源职工综合楼1-2层3号（二道街244号）,['15946050155'],[]
兰锋饭店,建设路7号,['13224606622'],"['http://p0.meituan.net/xianfu/2581dc599e2cda92e272f5d1c2679453116102.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/78387f2859b4c71fb32bd9d5f5f6a0fc147156.jpg@900w_600h_1e_1c']"
五爷炸串（呼兰店）,北大街幸福小区2#1层东四门（工会胡同）,['045156892555'],[]
红门霸王串炒饭,哈尔滨市呼兰区新华街东方红小学一层2号,['15645051171'],[]
财子原浆酒坊,利业镇裕强小区8栋16号,['15244755118'],"['http://p0.meituan.net/waimaipoi/58d6bfafe734fb3fbda9dbfb38067c60161040.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/efc8fb935fa5e9019fccc0caefe6144f104234.jpg@900w_600h_1e_1c']"
