shopName,shopAddress,shopPhone,licencePics
泰煌鸡(宝山店),上海市宝山区盘古路455号,['021-56694560'],"['http://p1.meituan.net/xianfu/3badf60ac811c34aa30de02fd0c8ef2f119992.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/ce506c223b47ecbb0d9d05c8543656ed133814.jpg@900w_600h_1e_1c']"
汉堡王（宝山永辉店23683）,上海市宝山区东林路193号,['4008988788'],"['http://p1.meituan.net/xianfu/f2d687390b36846e9ea279ec2c741db1139189.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/05f552463d1333e1cec36b26518f0598156347.jpg@900w_600h_1e_1c']"
段氏龙虾（友谊支路店）,上海市宝山区友谊支路215号,"['18721629180', '13817493393']","['http://p1.meituan.net/waimaipoi/79c27c0ea7df100a8deb641553ac9248136189.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/fe486367dafc011a46c6564c2cbea80e58042.jpg@900w_600h_1e_1c']"
1点点(牡丹江店),上海市宝山区牡丹江路1725-2号,['021-56672129'],"['http://p0.meituan.net/xianfu/5f7eada955814208a116039cbb4939d976686.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/64d5594bf596b644038d78fdb3a9d8e5145536.jpg@900w_600h_1e_1c']"
肯德基宅急送（宝山店）,宝山区友谊路街道牡丹江路1688号,['4009208801'],"['http://p0.meituan.net/waimaipoi/6ee1baf80f86879d2f0d3b250d6ec5f2185064.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/f7e9100c1a2a3a51fac92e2bea4c2717115246.jpg@900w_600h_1e_1c']"
金牡丹大酒楼,牡丹江路1538号(近宝林路),['021-56123888'],"['http://p0.meituan.net/xianfu/fa387d3a9855caabd9b7a2a2d169e698352702.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/a2c608c830e67ed89d68f6545c9bb63b380007.jpg@900w_600h_1e_1c']"
必胜客宅急送（团结路店）,上海市宝山区团结路6号二层202商铺,['4009208809'],"['http://p0.meituan.net/xianfu/9da4cc006317b6919dfccb6312556646115490.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/3260273887c099ae004eb9a714f55083378651.jpg@900w_600h_1e_1c']"
一纸馋纸包鱼黄毛家常菜,上海市宝山区牡丹江路1799号底楼,['13166237444'],"['http://p1.meituan.net/waimaipoi/c149259f80a6733eb9cf0b8076a56526135575.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/a4cfac4b9e74dbf49e7a98457673ef73241465.jpg@900w_600h_1e_1c']"
梦湘媛经典湘菜,上海市宝山区同济路999号15号楼116室,['02136626028'],"['http://p1.meituan.net/xianfu/1044da0586e845018cbff6ec979596b7225489.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/79a0e2c1ab999dc7580d1a52232c7d8a380947.jpg@900w_600h_1e_1c']"
避风塘(宝乐汇店),上海市宝山区牡丹江路1569号F501室,['021-66220058'],"['http://p0.meituan.net/xianfu/8bee6f108c2fc6880ba45d5424301df6155649.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/913f9befdb842947b3db12df944732d5320549.jpg@900w_600h_1e_1c']"
上海麦当劳宝山餐厅,友谊路160号,['4000517117'],"['http://p1.meituan.net/waimaipoi/fd00a85825df6699dcfc38850d9184fa1183079.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/5ad578307cba7c7f4298296c60f069331346878.jpg@900w_600h_1e_1c']"
