shopName,shopAddress,shopPhone,licencePics
小东北烤肉（新福路店）,宝鸡市金台区新福路七号轩苑盛世美食广场,['15619183896'],[]
肯德基宅急送（经二路店）,陕西省宝鸡市渭滨区经二路154号1层局部2层局部,['4009208801'],[]
RB珍奶会所,陕西省宝鸡市渭滨区汉中路21号楼一楼门面房,"['09173535556', '18991576866']",[]
柒號餐厅(广元路店),广元路14号院2幢1层7号,['09173248599'],[]
小六汤包（新华店）,经二路新华巷26号（近人民医院北门）,"['09173205889', '13892469157']",[]
德克士（宝鸡步行街餐厅）,经一路嘉隆国际商城德克士餐厅,['0917-2708844'],[]
魏家凉皮（经二路店）,宝鸡市渭滨区广元路与新建路交汇处(转盘西北角)宝隆御邸一楼,['0917-3238989'],[]
华莱士炸鸡汉堡（宝鸡红旗店）,陕西省宝鸡市渭滨区红旗路20号楼1层2号,"['15389336129', '09173603875']",[]
丰田源饼屋,陕西省宝鸡市渭滨区南关路6号,"['09173661862', '13772686204']",[]
LETEA乐茶,陕西省宝鸡市渭滨区金圆方服装城18号门面房,['13992722228'],[]
华沙酒楼,新民路大地苑8号楼4楼,['09173215985'],[]
川湘私厨,宝鸡市金台区曙光路195号楼副12号,"['13571180887', '18991734919']",[]
小四川（新建路）,渭滨区新建路西段17号院3号楼1层12号,"['13209219236', '13319171045']",[]
阿姨奶茶(天下汇店),陕西省宝鸡市渭滨区天下汇负一楼162号,['18236580379'],[]
川湘楼,南关路市场,"['15760937198', '18791472232']",[]
魏家凉皮(宝鸡中山路店),宝鸡市中山路（华中通讯）斜对面,['09173653488'],[]
柒號餐廳（新福路店）,陕西省宝鸡市金台区新福路7号院轩苑盛世8幢2层3号,['09178812333'],[]
粥八戒（国贸店）,经二路155号国恒金茂大酒店一楼,['17392567338'],[]
阿香米线(宝鸡开元餐厅),宝鸡市渭滨区火车站开元商城五楼,['0917-3506133'],[]
肯德基宅急送（经二路店）,陕西省宝鸡市渭滨区经二路154号1层局部2层局部,['4009208801'],[]
RB珍奶会所,陕西省宝鸡市渭滨区汉中路21号楼一楼门面房,"['09173535556', '18991576866']",[]
德克士（宝鸡步行街餐厅）,经一路嘉隆国际商城德克士餐厅,['0917-2708844'],[]
小六汤包（新华店）,经二路新华巷26号（近人民医院北门）,"['09173205889', '13892469157']",[]
魏家凉皮(宝鸡中山路店),宝鸡市中山路（华中通讯）斜对面,['09173653488'],[]
川湘私厨,宝鸡市金台区曙光路195号楼副12号,"['13571180887', '18991734919']",[]
阿姨奶茶(天下汇店),陕西省宝鸡市渭滨区天下汇负一楼162号,['18236580379'],[]
毛记冒菜（汉中路店）,解放新村5号楼（1-2层）9号,['0917-3240668'],[]
东北虎骨头庄（中山路店）,陕西省宝鸡市金台区中山东路150号（解放商场正对面）,['0917-2832666'],[]
锦香园黄焖鸡锅仔米饭,群众路同心小区22号,['15309170947'],[]
港其淋,迎宾路5号,"['15353012991', '13892727970']",[]
重庆鹤柏麻辣烫（曙光店）,曙光路195号,['18392728487'],[]
LETEA乐茶,陕西省宝鸡市渭滨区金圆方服装城18号门面房,['13992722228'],[]
阿香米线(宝鸡开元餐厅),宝鸡市渭滨区火车站开元商城五楼,['0917-3506133'],[]
成都阿婆（西凤路店）,西风路4号,['09173203448'],[]
