shopName,shopAddress,shopPhone,licencePics
肯德基宅急送（迎宾店）,珠海市拱北迎宾路迎宾广场二楼,['4009208801'],"['http://p1.meituan.net/xianfu/43d9c5996694f2667a9eec19b20e0808120567.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/609e5abc8d319a065cb63e936e56de41166709.jpg@900w_600h_1e_1c']"
珠海麦当劳迎宾广场餐厅,珠海市拱北迎宾南路1144号迎宾广场首层106号商铺,['4000517117'],"['http://p0.meituan.net/xianfu/f4fb8d4813267f8a528d7a773bdd43e2129642.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/c0683b55fb14acd6c1843681e97deee589096.jpg@900w_600h_1e_1c']"
西贝莜面村（珠海摩尔广场店）,珠海市迎宾南路2095号摩尔广场第三层F3-003、F3-004,['13380633958'],"['http://p0.meituan.net/xianfu/0df1ea7e821b2802e42ebd565f5bebce170817.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/d3a31a5bf02ed996b74c6a87f80034de84574.jpg@900w_600h_1e_1c']"
必胜客宅急送（迎宾店）,广东省珠海市香洲区迎宾南路1144号,['4009208809'],"['http://p1.meituan.net/waimaipoi/2b6197eae93efb1b48f5b62a290a88af159211.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/44ae0c97323bea6a63df3afc87d0ca09139473.jpg@900w_600h_1e_1c']"
港兴茶餐厅（拱北店）,珠海市拱北迎宾南路1155号中建商业大厦一楼012号铺,['07568112308'],"['http://p0.meituan.net/waimaipoi/5415d9ede3fcf3f627f2549856421057197479.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/fcc3ada65b12a65f2132f28c9c7d9111214362.jpg@900w_600h_1e_1c']"
剁椒湘菜馆（岭秀城店）,珠海市香洲区岭南路68-1013,['15819418788'],"['http://p1.meituan.net/waimaipoi/706b61d0548859f72159d552aba7021147159.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/226e37089db86af1139342b6087c901f159815.jpg@900w_600h_1e_1c']"
大家乐(珠海富绅店),珠海市拱北迎宾大道富绅花园商场地面层单位83-90号及一楼层,['07568870095'],"['http://p0.meituan.net/waimaipoi/b1b0f1e88c7a6cdf2f1b12f758b53787111407.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/5d6b5c161fe9b3b02a9dd2e2de3e2534231956.jpg@900w_600h_1e_1c']"
巴蜀村,侨岭街2巷15号（华侨宾馆对面巴士站后100米）,['0756-8886906'],"['http://p1.meituan.net/xianfu/be84010450a3545dba0b156229c13b26119804.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/a726e6401cbfc912154ed66ba5decab5258281.jpg@900w_600h_1e_1c']"
苍井外带寿司（北岭店）,珠海市拱北岭南路68-1044铺,['07568891516'],"['http://p0.meituan.net/xianfu/df625bdcc093fab6f0eca40aba6205eb110094.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/ca11ace8e5d28075e824aaa7f26eeef4176609.jpg@900w_600h_1e_1c']"
汉堡王（珠海迎宾南路21793）,珠海市香洲区迎宾南路2095号摩尔广场F1-006号商铺,"['4008988788', '07568282250']","['http://p0.meituan.net/xianfu/9840e322eeb5d4dfeb815ecd72e4bb91340435.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/ce553a0f5131b3674ebb4c837fcdd31c330759.jpg@900w_600h_1e_1c']"
将军粥档,珠海市香洲区拱北夏湾西街14号B座,['13414853601'],"['http://p0.meituan.net/waimaipoi/8b6aeb0fa1a4275d7094adb6254757c1119806.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/9d666cac8c46bb7d5f43f5cdc055d9ad118662.jpg@900w_600h_1e_1c']"
东北人（珠海拱北店）,珠海市拱北粤海东路1138号(鸿都酒店一至二楼),['07568112566'],"['http://p1.meituan.net/xianfu/9e4cadc29222e941b221ec1699bbb879729411.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/9e4cadc29222e941b221ec1699bbb879729411.jpg@900w_600h_1e_1c']"
湘味小厨,珠海市香洲区拱北街道粤华路152号新市花园8栋101房,"['15626925295', '14773206808']","['http://p0.meituan.net/waimaipoi/cc89adca7da94a1290f1894b333c0a8f198868.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/f4accfff2c9194a8d47054348ec65ce6187336.jpg@900w_600h_1e_1c']"
韩味基炸鸡啤酒,珠海市香洲区拱北粤华路152号18栋1单元103房之一,['15363961787'],"['http://p0.meituan.net/waimaipoi/c53fe6665d772b59d4ab1e5e6def8a8a176903.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/e05ecf1895ee3dbddbbad8eed3d682fd223270.jpg@900w_600h_1e_1c']"
