shopName,shopAddress,shopPhone,licencePics,poiQualificationInfoUrl,poiQualificationInfo
百基拉炸鸡•汉堡（司徒店）,江苏省丹阳市司徒镇东方苑14幢1但愿101室,"['051186807977', '15862928428']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=974520669652173
姜辉黄焖鸡米饭,丹阳市司徒镇光明中路与建镇北路交叉口,['13337772057'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1071526801002974
四川人鸭血粉丝酸菜鱼,丹阳市司徒镇建镇南路东侧2幢108,['15050876448'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=972583639402621
沙县小吃,丹阳市司徒镇建镇南路西侧（96号）,"['17777235969', '15952941202']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1071814563850581
吴记鸭血粉丝（司徒店）,丹阳市司徒镇光明中路37号,"['15252939510', '15252939510']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=919016807273614
小影果园（司徒店）,丹阳市司徒镇建镇南路7号,['15051136510'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1108605253676533
品尚多（鲜果零食）,丹阳市司徒镇建镇南路东侧2幢1010室,"['18752952116', '051186520663']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=976414750257078
四季花饰（全国同城连锁店）,碧桂园21幢1单元201室,['17321616195'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=887951308842419
淘汰郎小火锅小龙虾外卖（丹阳店）,丹阳市云阳镇太阳城路张家112号,['15862924572'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=875229615690242
三好龙虾馆,云阳镇全福禄82弄20号,"['13511683771', '13968792259']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1025544881119516
肯德基宅急送（丹凤店）,丹阳市南环路欧尚超市北侧一层,['4009208801'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=963542733247758
华莱士（炸鸡汉堡丹金店）,云阳镇丹金路7-15号,"['0511-86733297', '13511698951']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1004851728737911
1点点（金鹰店）,江苏省丹阳市云阳镇新民东路99号丹阳金鹰天地广场03幢01层0108商铺,['0511-86581163'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1024088887231063
玖祥粥铺（御龙湾店）,开发区普善人家83-124号,['18952964156'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1035251507227559
东北烧烤,丹阳市双井巷（中国人寿向内50米）,['15205293535'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1000990553123326
粥宫壹号（丹阳店）,丹阳市云阳镇江南嘉园11幢-5室门市,['15050881237'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=949764478186908
四川烧烤,云阳镇张家村8号,['18762095550'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1033331656842428
贵州怪噜味炒饭炸土豆专卖,云阳镇全家福市场37号门面,['15862962060'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1059226014699118
镇江麦当劳丹阳金鹰餐厅,丹阳市新民东路99号丹阳金鹰天地广场北区16号一楼A29室商铺,['4000517117'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1053457873568776
珍奶会所（不夜城店）,丹阳市云阳镇不夜城F座6,['18021577993'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1084123940072573
华莱士（炸鸡汉堡新民中路店）,"江苏省镇江丹阳市新民中路蓝凌大厦第2间,中国人寿对面",['0511-86528080'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=845087535260309
领头羊烧烤（东门店）,丹金路富康苑41号,['15252958902'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=987298197391858
小肉串的日记(炸串）,丹阳市云阳镇华南96-1-01,['15050883566'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1039125567730375
淘米米,华南路华南新村26栋105室（小贡摩配对面）,['18168606645'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=971789070494910
东北烧烤（东门店）,金太阳公寓一层二层1室,['15205299192'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=936664827928842
疯狂烤翅（华阳路）,丹阳市华阳综合楼12号门面,"['13775333159', '13912829877']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1116950375147914
陈氏麻辣烫（凉皮~脆皮馄饨）,镇江市丹阳市云阳镇全福南路44号,"['13775333382', '18912812132']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1105525762139369
零点烧烤（华南路店）,丹阳市云阳镇华南新村43号,['051186909577'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=890871886616688
华莱士（炸鸡汉堡界牌店）,江苏省丹阳市界牌镇界牌西路161号,"['0511-86388987', '18260611404']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1108420570071291
忘不了（界牌店）,界牌镇南大街192号,['0511-86373127'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=961786091631287
台湾贡茶（界牌店）,丹阳市界牌镇旭日路菜场对面,['13584328809'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1119926787454067
正新鸡排（界牌官方直营店）,江苏省镇江市丹阳市界牌镇南大街与旭日路交叉口181号,['18721312941'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=915391854916069
顺霞小吃,丹阳市界牌镇永红路203号,"['18952845996', '15751415977']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=896197646054020
沪上阿姨（镇江丹阳旭日路店）,开发区南大街与旭日路交口,['15952838858'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1107492857183576
星尚烧烤（龙虾）,丹阳市界牌镇灯城大街202号,['18712020297'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1102648134067136
上林果语,丹阳市界牌镇界牌路128号,['15358618999'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1120781485991304
百姓大食堂,界牌镇富民西路168号（界牌镇富民西路）,"['18852821878', '15267087369']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=977355348099836
烧烤地带（龙虾烤鱼羊排水饺）,界牌镇灯城大街206（灯城大街）,['13615294653'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=883523197540763
