shopName,shopAddress,shopPhone,licencePics,poiQualificationInfoUrl,poiQualificationInfo
清远麦当劳佛冈餐厅,清远市佛冈县石角镇振兴中路18号,['4008597597'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=918492821279133
堕落小龙虾（蟹·海鲜·佛冈振兴路店）,佛冈县石角镇振兴中路126号,['13602920916'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1114231660827699
云南烧烤店,石角镇环城中路278号之2（银座对面）,['18922551316'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1003090792145881
又一轩茶餐厅,佛冈县石角镇青云东路后龙散围文化室商铺,['07634281981'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1117461476262525
华莱士炸鸡汉堡（佛冈建设店）,清远市佛岗县确镇建设路346-348号两卡商铺,['07634286714'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1086481877164787
明记粥庄,佛冈县石角镇新华街11号,['18127269660'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1099336714270328
来一煲砂锅麻辣烫(佛冈店),石角镇环城中路站前一街22号,['15919631737'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1092138349063638
毛记秘制烤鸭肠,佛冈县石角镇环城中路255号,['13416511620'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=982011092650023
美优乐(佛冈店),清远市佛冈县石角镇振兴北路世纪广场首层A01、A29-A33号美优乐餐厅,['0763-4283799'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=943858898152278
品道料理,解放路成业街13-15号林业局旁（佛冈县林业局）,['0763-4283962'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1047711207360328
芒果捞港式甜品,佛冈县石角镇环城中路车站街58号,['13717280708'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=984738396850409
华哥烤猪蹄店,佛冈县石角镇解放路201号,['13553908690'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=915860006349738
杨振东麻辣烫（兴隆街店）,佛冈县石角镇振兴中路兴隆街55号,['13360555158'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=888552604283381
阳山牛杂,佛冈县石角镇青云东路175、177号,['13539512890'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1031540655521293
三禾小馆,佛冈县石角镇教育路72号,['15119953309'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=944520323087530
八度榴恋,佛冈县石角镇振兴中路113、115号,['07634885866'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=915890071126217
咕噜咕噜,石角镇建设路254号,"['13926694392', '18218087250']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=942828105970536
炖盅世家（环城店）,石角镇环城中路371号,['13610567223'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=890347900623983
加多堡·炸鸡汉堡（佛冈店）,佛冈县石角镇建设路330号,"['07634882212', '13416548357']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=957349390423791
肠粉世家,佛冈县石角镇教育路109号,['13535981331'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=873838046284445
大拇指烧烤,石角镇冈田村委会松树墩村民小组曾炳添自有商铺自编81号,['15323190879'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1124986258941806
浓农情怡鲜炖燕窝（千禧第十分店）,广州市海珠区新港西路千禧一街6-10号首层111号铺之十,"['075526692066', '075526690233', '13534163358']","['http://p0.meituan.net/xianfu/82641079c0863a653d098c18cb343147114547.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/fefc83602050e40c9078f8a3c7a09427193036.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1061128685177032
窑鸡王（曙光店）,清远市清城曙光一路73号地下之二（自编第二卡）,['13828587958'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=865651838658396
梦之园蛋糕店,清远市清新区太和镇府前路42号康怡花园爱怡居首层111号铺,"['18926651067', '18718062095']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1080301419169943
好吃蛋糕特价店(千层蛋糕),清远市清新区太和镇滨江路73号115号铺(室内经营),['15767241539'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1124243229608068
哈喽蒸鸡(滋补蒸鸡),清远市新城西一号区南埗市场南侧108号(自编号南卡铺),['18602024115'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1044215103976229
正宗潮汕原味汤粉,佛冈县石角镇青云东路146号,['15818541880'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1121009119229932
炖盅世家（青云东路店）,石角镇青云东路138号,['0763-4273218'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=903310111875621
伯爵海鲜烧烤（环城中路店）,佛冈县石角镇环城中路81号3-4卡,['15817022500'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=891992873101242
红辣椒川菜馆,佛冈县石角镇文中街32、34号,['13926692324'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=909310181232867
碧云轩美食-沙县小食,佛冈县石角镇环城中路218号,['13729697105'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1125007733753596
冰之韵（奶茶汉堡小吃）,佛冈县汤唐镇汤泉西路14号之一,"['13416560309', '07634631750']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=968696693998117
食惠鲜（汤塘,汤塘镇聚龙湾天然度假温泉度假村东侧河堤,['18934119191'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=861610274447648
勿忘我,佛冈县汤塘镇汤泉西路（邮政局侧）,['13828568490'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=851968072835249
华莱士炸鸡汉堡（汤塘店）,清远市佛冈县汤塘镇新兴街(农行则对面),['0763-4638676'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=974018158520711
乳鸽天下,汤塘镇兴隆街43号（建字2005-41）,['13828537678'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1069757274504202
贝克汉堡（炸鸡小吃）,佛冈县石角镇新区三十米大街新龙经济合作社商住楼5号商铺,['07634638007'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1020562719073747
味时代,佛冈县汤塘镇汤泉西路54号第二卡商铺,['13710507158'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1005719312127957
茶蜜语,汤塘镇汤盛大道145号,['07634638010'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=874078564460189
花语烘培,汤塘镇文明路21号、23号（邓长登诊所正对面）,['13534416032'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=933280393694919
特色回味鸡,佛冈县汤塘镇新区利民路1号之四,['15119784096'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1073279147654902
谭先生的店,佛冈县汤塘镇平安街18号之一（汤盛大道附近）,['13927673832'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=987899492795083
发哥窑猪（汤塘店）,佛冈县清远市佛冈县汤塘镇中心街60号,['13376672791'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1071058649601430
