shopName,shopAddress,shopPhone,licencePics,poiQualificationInfoUrl,poiQualificationInfo
天山酒楼,宝塔区百米大道欧锦园,['0911-2900088'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=891503246801605
肯德基宅急送（东川店）,宝塔办延河居委嘉岭桥东侧迎宾大道3188号一二层,['4009208801'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=931974723602744
白氏兄弟烧烤,东滨路百米大道融信园小区隔壁,"['13720642336', '09118877465', '15667820715']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1086546301655310
楠柏湾大排档,百米大道龙昌园小区1号楼商业二层,['0911-8810001'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1024020167749910
西安面筋王,百米大道尹家沟农贸市场中排1号（海旭烟酒商行旁边）,['13892185717'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=915598013344218
张宏烧烤（手工面筋）,尹家沟公交站牌对面门面房,['18292121108'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=945108733625774
德克士(延安东大店),陕西省延安市宝塔区百米大道东大百货二楼,['09112112999'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1116460748842320
逸茗悦茶饮,陕西省延安市宝塔区桥沟街道办事处尹家沟村百米大道尹家沟二组六号楼23号门面房,['17719615799'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1063804449802164
猛男的炒饭（欧锦园店）,百米大道欧锦园B5门面房,['18991782877'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1110396255036823
潘桃粥记,宝塔区尹家沟农贸市场东排9-10号,['09112495666'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1109687585467256
华莱士炸鸡汉堡（欧锦园店）,延安市宝塔区百米大道欧锦园B座6号,['09118896058'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=907536359744769
小推手工酸辣粉,陕西省延安市宝塔区桥沟街道办事处尹家沟村百米大道欧锦园街A区7号门面房,['15991593233'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=911998830759541
延安悸动烧仙草（欧锦园店）,陕西省延安市宝塔区百米大道欧锦园B座7号楼门面,['09112211224'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1001359920329061
小湘村（虾尾）,陕西省延安市宝塔区百米大道欧锦园B座8号,['0911-2323111'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1121730673740382
西安麦当劳延安中际大厦餐厅,延安市宝塔区中际大厦一楼,['4000517117'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=904873480026136
米多面多（百米大道店）,桥沟街道办事处泽子沟村延安电大门口完圣农贸市场1018号门面房,"['13992819261', '15829119376']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=882664204135585
亮亮烤烤烤,宝塔区百米大道市交通局旁,['09118800588'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=939598290579565
海涛家常小炒,陕西省延安市宝塔区尹家沟农贸市场后门面房,['18729397617'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1031905727726760
马小龙炒饭（佳华酒店）,百米大道佳华酒店,['18691103661'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1015760945642737
德克士（延安4店）,延安市宝塔区汽车南站德克士,['0911-2498111'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=865114967728825
欣翔铁板烧烤炒饭,陕西省延安市宝塔区南桥南市办事处凉水井社区白坪巷内财政局门口旁边,['13991778811'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1069155979039702
夜来虾,二道街供销市场,['15191196095'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=944073646509183
王者烤肉拌饭,中心街旅游步行街22号（二黑御膳剪刀面旁边）,"['17729534221', '15667666852']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=996867384509617
小蹄大作,凤凰城管中队中心街北段朝天门院内,['15319512348'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=994234569548247
泰熙家（延安万达店）,延安市宝塔区大东门延安万达广场5楼5007,['09118800591'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=892491089264940
肯德基宅急送（延安万达店）,陕西省延安市宝塔区凤凰社区27号延安万达广场一层1055号商铺,['4009208801'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1106341805883807
小海螺餐厅,陕西省延安市宝塔区高第美尚城五楼,['0911-8886406'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=874336262490536
德克士（二店）,陕西省延安市宝塔区二道街丽融一楼,"['09112313910', '19891119980']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=849575776089663
昌盛红岐山面,宝塔区大东门御城国际大厦门面房,['18992168363'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=987177938316536
魏家凉皮,二道街大东门十字,['0911-2124430'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1104606639154389
亚军面皮（小东门店）,二道街亚圣二楼外侧门面（陕西省延安市宝塔区二道街亚圣二楼外侧门面）,['09112123751'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=886190372259760
延成烧烤香菇面,宝塔区二道街北段朝天门院内,['13892198055'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1040959518781225
北龙商务酒店餐饮部,宝塔区二庄科沟口北龙大厦,['18909112057'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1096712489222161
必胜客宅急送（宝塔店）,陕西省延安市中心街治平大厦一二层,['4009208809'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1046487141656026
姚氏姐妹炸肉串,二道街亚盛后楼（中延国际斜对面）,['16609117337'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1020584193943789
麻辣虾说(烧烤),陕西省延安市宝塔区桥沟街道办事处尹家沟村农贸市场20号门面房,['17719731164'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1082397363236127
重庆傻儿鱼（烧烤）,陕西省延安市宝塔区枣园办枣园五号小区10号楼五单元102室,['13891196302'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1120476543257721
串宅原二期客串沾沾,枣园办莫家湾枣园小学对面,['15191161119'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=969147665548943
