shopName,shopAddress,shopPhone,licencePics,poiQualificationInfoUrl,poiQualificationInfo
德克士商贸餐厅,吉林省白城市洮安西路32-4号,['04363530818'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1071342117416382
溪水尝留过桥米线,吉林省白城市白鹤小区5号街坊3号楼东二号门市,"['04363333275', '13664367625']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=919527908377215
附近人家常菜,吉林省白城市民生东路18—5号,['15330782233'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=963920690359514
香满家园大众菜馆,朝阳路12楼-4室,['13894688580'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=863040498519612
黑泷堂（大润发店）,吉林省白城市洮北区新华东大路40号,['18043660755'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=931961838714589
王者肉肉拌饭,吉林省白城市新兴路1号—3号,['13351520352'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1033262937355306
一千零一串烧烤,吉林省白城市文化东路36号门市,['13894666879'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1112174371502861
辣嘴肉蟹煲（麻辣精品海鲜）,新华东大路大润发十字路口东50米路北,['0436-3246000'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=867339760774520
李先生牛肉面（白城大润发店）,白城市新华西大路4-4号楼,['04363365715'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1011839640479112
德克士(中润餐厅店),海明路123号,"['0436-5038185', '0436-5097185']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=854205750797920
茉莉香鸭颈王（一店）,吉林省白城市新华小区6号楼1号房,['18943461799'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=892126017069639
炒饭先生,新兴路4—4号（8—5）,['15500281137'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1052087779055772
头等舱鸭霸王,大象北50米,['04365882255'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1085197681937128
杜鲜生水果捞,海明西路50楼—2号（鹤林苑西区13号楼，盛世金源楼下，三二一路南西50米）,['13364573636'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=867889516641154
天福烧烤,长庆南街与新华东大路交汇处北侧,['0436-3656969'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=999049227893649
杨阿姨汉堡,吉林省白城市金辉南街64号楼142号,['15043679950'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1054557385209265
日日鲜手工饺子,海明东路2胡同3号楼4单元1层东户,['13125761007'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1091687377471610
