shopName,shopAddress,shopPhone,licencePics,poiQualificationInfoUrl,poiQualificationInfo
肯德基宅急送（长山湖店）,长乐市航城街道龙门村长山湖广场一、二层,['4009208801'],"['http://p1.meituan.net/waimaipoi/a843e9afe8a9bab1b84d4228f6a6fa00168708.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/ef562285a72c1bc03459ad50ab2fb44a157482.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=998941853685704
德克士（长乐餐厅）,吴航街道惠航大厦一楼,['059128887372'],"['http://p0.meituan.net/xianfu/a0f3a2ae3ed7e0e55da825370caa75af47021.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/e5175d6167993550d218900e64b45427276783.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=923260234983220
1點點(长山湖店),福州市长乐市吴航路800号,['059128888311'],"['http://p0.meituan.net/xianfu/64dcce470a66d2b4dd13f0a80bc454c8113893.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/fc8d720276f4cb7d76642a67afd758e0134127.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=924308206991259
董小宛牛焖饭,福建省福州市长乐市吴航街道文学路2号11座第15间店面,['18767706157'],"['http://p1.meituan.net/waimaipoi/c0aea992b0bbeca386ee6b61729d3a39132238.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/e62a536ac90401dcd62b6f6517548534173993.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=964032359503974
9班烤场(烧烤•冰饭),会堂路332号,['15005953767'],"['http://p0.meituan.net/waimaipoi/ea2e55e97896c3022e454fc494b9d739132154.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/c8294b6e33e41dde5d41878a0362b5e1222657.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1032283684835824
三只鱼石锅鱼餐馆,航城街道罗马花园40#楼46-47号店,['18860137675'],"['http://p1.meituan.net/xianfu/998f6f6c284861b69d1c5848f0f7b704132885.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/20e9d4f9f6d123dad9049198b5719761141899.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1050550180765782
芝根芝底（长乐会堂店）,福建省福州市长乐市航城街道航建小区15号店面,"['059128801297', '18659157594']","['http://p1.meituan.net/xianfu/3ea27a09cbee4679b1bf84ac7b3b5e4f338898.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/70ddccf553d94b398c2fbc96a3318661417765.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=921258780225479
蚝门酒舍（会堂店）,福建省福州市长乐区航城街道会堂路141、143号,['18705072001'],"['http://p0.meituan.net/waimaipoi/9491a8b86ed453bc117b26a6ea731e5e226522.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/dbdeb4dd2cdfb8a755e4fd7596d11944262380.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=912020305575067
华莱士（长乐长山湖店）,福建省福州市长乐区航城街道吴航路800-6号,['15980511848'],"['http://p1.meituan.net/waimaipoi/5a67d2c1b55fc38f52b63419ba4d8b4498373.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/4ad584dfa1848824ab4d968db46dfea2216434.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1110804276953451
玛格利塔现烤披萨（吴航店）,福建省长乐市会堂路188号吴航永辉一层店面,['0591-28791779'],"['http://p1.meituan.net/xianfu/7941f30200d38c87248f4a700425ed00164485.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/7ee96d9e1d41a60d82d9ffd91de1a7c9371816.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=853595865438073
